GAME_ID,HOME_TEAM_ID,VISITOR_TEAM_ID,PTS_home,PTS_away,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away
22200282,1610612759,1610612747,94,105,0.38,0.75,0.182,21,50,0.482,0.85,0.296,28,49
22200283,1610612756,1610612765,108,102,0.483,0.654,0.241,25,43,0.424,0.938,0.346,21,49
22200284,1610612744,1610612762,129,118,0.515,0.833,0.444,33,49,0.474,0.882,0.244,28,42
22200285,1610612746,1610612743,104,114,0.544,0.559,0.5,22,33,0.494,0.696,0.333,27,37
22200260,1610612766,1610612755,107,101,0.478,0.619,0.261,25,44,0.442,0.889,0.237,20,45
22200261,1610612739,1610612757,114,96,0.554,0.87,0.444,22,39,0.449,1,0.419,28,32
22200262,1610612754,1610612750,101,115,0.385,0.688,0.364,25,30,0.61,0.765,0.364,31,50
22200263,1610612737,1610612758,115,106,0.446,0.957,0.367,23,47,0.461,0.714,0.29,27,48
22200264,1610612738,1610612742,125,112,0.536,0.857,0.5,29,38,0.537,0.619,0.355,20,35
22200265,1610612748,1610612764,113,105,0.419,0.864,0.39,20,53,0.472,0.579,0.263,27,43
22200266,1610612761,1610612751,98,112,0.356,0.76,0.241,16,52,0.549,0.714,0.447,32,39
22200267,1610612749,1610612741,113,118,0.456,0.76,0.316,24,48,0.494,0.778,0.429,30,35
22200268,1610612760,1610612743,126,131,0.433,0.857,0.45,26,39,0.477,0.805,0.368,31,55
22200269,1610612759,1610612740,110,129,0.482,0.643,0.294,31,37,0.573,0.7,0.424,33,42
22200270,1610612762,1610612765,116,125,0.494,0.842,0.439,31,38,0.494,0.926,0.5,24,38
22200271,1610612744,1610612746,124,107,0.495,0.692,0.373,36,45,0.453,0.667,0.379,22,43
22200256,1610612755,1610612751,115,106,0.434,0.813,0.5,19,49,0.55,0.692,0.321,31,35
22200257,1610612763,1610612758,109,113,0.451,0.633,0.267,26,49,0.433,0.741,0.333,27,45
22200258,1610612743,1610612765,108,110,0.5,0.654,0.263,28,42,0.511,0.857,0.286,27,40
22200259,1610612756,1610612747,115,105,0.471,0.6,0.471,23,49,0.424,0.829,0.182,19,45
22200248,1610612739,1610612737,114,102,0.6,0.87,0.526,24,37,0.437,0.882,0.324,24,35
22200249,1610612754,1610612753,123,102,0.5,0.889,0.283,32,48,0.424,0.76,0.314,20,38
22200250,1610612741,1610612738,121,107,0.517,0.75,0.483,26,51,0.437,0.706,0.38,28,38
22200251,1610612749,1610612757,119,111,0.547,0.64,0.321,31,42,0.473,0.789,0.276,19,40
22200252,1610612750,1610612748,105,101,0.435,0.85,0.298,30,40,0.389,0.667,0.289,26,46
22200253,1610612740,1610612744,128,83,0.538,0.714,0.357,30,50,0.378,0.895,0.233,17,34
22200254,1610612760,1610612752,119,129,0.489,0.781,0.333,25,38,0.526,0.8,0.324,21,48
22200255,1610612746,1610612762,121,114,0.516,0.947,0.375,26,41,0.449,0.917,0.316,22,45
22200240,1610612756,1610612752,116,95,0.426,0.722,0.436,35,60,0.4,0.8,0.28,20,39
22200241,1610612764,1610612766,106,102,0.43,0.722,0.382,19,49,0.39,0.696,0.25,19,51
22200242,1610612758,1610612765,137,129,0.553,0.886,0.343,29,41,0.528,0.87,0.517,20,35
22200243,1610612751,1610612763,127,115,0.602,0.733,0.471,33,45,0.434,0.548,0.324,28,44
22200244,1610612739,1610612748,113,87,0.53,0.75,0.351,31,49,0.388,0.864,0.194,17,30
22200245,1610612745,1610612744,120,127,0.456,0.852,0.333,24,45,0.535,0.733,0.511,38,40
22200246,1610612742,1610612743,97,98,0.449,0.571,0.357,24,36,0.474,0.789,0.333,22,44
22200247,1610612747,1610612759,123,92,0.529,0.875,0.353,29,54,0.39,0.3,0.206,26,44
22200235,1610612737,1610612761,124,122,0.5,0.781,0.28,23,50,0.444,0.818,0.216,27,51
22200237,1610612755,1610612750,109,112,0.479,0.844,0.438,21,39,0.471,0.833,0.333,28,43
22200238,1610612757,1610612762,113,118,0.47,0.815,0.31,27,43,0.462,0.87,0.359,23,42
22200239,1610612746,1610612759,119,97,0.543,0.526,0.525,32,35,0.414,0.857,0.269,22,43
22200224,1610612764,1610612748,107,106,0.427,0.714,0.326,33,54,0.357,0.781,0.256,23,53
22200225,1610612739,1610612766,132,122,0.533,0.813,0.286,25,50,0.4,0.833,0.318,24,53
22200226,1610612755,1610612749,110,102,0.513,0.654,0.464,28,41,0.456,0.381,0.333,22,42
22200227,1610612741,1610612753,107,108,0.461,0.8,0.238,27,46,0.494,0.909,0.429,25,41
22200228,1610612745,1610612754,91,99,0.337,0.844,0.214,15,49,0.402,0.778,0.293,25,45
22200229,1610612763,1610612760,121,110,0.419,0.725,0.359,26,57,0.469,0.818,0.324,34,43
22200230,1610612742,1610612743,127,99,0.597,0.786,0.406,29,44,0.422,0.722,0.333,24,36
22200231,1610612740,1610612738,109,117,0.494,0.769,0.371,24,37,0.482,0.882,0.435,28,46
22200232,1610612762,1610612756,134,133,0.56,0.667,0.516,32,36,0.521,0.929,0.3,29,42
22200233,1610612744,1610612752,111,101,0.451,0.55,0.36,32,51,0.345,0.941,0.265,16,45
22200234,1610612747,1610612765,128,121,0.551,0.875,0.35,29,44,0.467,0.75,0.324,27,37
22200221,1610612757,1610612751,107,109,0.387,0.815,0.361,22,39,0.506,0.783,0.379,32,47
22200222,1610612758,1610612759,130,112,0.578,0.917,0.4,28,37,0.548,0.75,0.423,29,32
22200223,1610612746,1610612765,96,91,0.407,0.792,0.367,17,51,0.375,0.792,0.194,15,43
22200211,1610612766,1610612754,113,125,0.457,0.833,0.364,29,44,0.537,0.839,0.393,27,34
22200212,1610612753,1610612750,108,126,0.452,0.882,0.257,21,47,0.523,0.786,0.333,28,40
22200213,1610612764,1610612760,120,121,0.512,0.882,0.5,32,41,0.543,0.654,0.516,24,37
22200214,1610612737,1610612738,101,126,0.416,0.769,0.219,21,45,0.545,0.9,0.457,29,49
22200215,1610612761,1610612748,112,104,0.512,0.773,0.269,23,42,0.545,0.864,0.371,19,23
22200216,1610612749,1610612739,113,98,0.477,0.556,0.41,26,52,0.429,0.824,0.429,22,34
22200217,1610612740,1610612741,124,110,0.506,0.875,0.515,30,46,0.494,0.647,0.344,25,37
22200218,1610612742,1610612745,92,101,0.304,0.947,0.218,21,38,0.467,0.875,0.455,21,56
22200219,1610612743,1610612752,103,106,0.439,0.85,0.368,18,42,0.44,0.774,0.235,24,40
22200220,1610612756,1610612744,130,119,0.512,0.84,0.525,33,47,0.457,1,0.429,30,40
22200206,1610612740,1610612763,113,102,0.473,0.75,0.474,31,43,0.413,0.68,0.257,16,51
